"TT1" "TT2" "TT3" "TT25" "TT26" "TT27"
"ENSG00000284662" 0 0 0 0 0 0
"ENSG00000186827" 0 0 0 0 0 0
"ENSG00000186891" 0 0 0 0 0 0
"ENSG00000160072" 20 12 11 5 13 1
"ENSG00000041988" 193 463 476 257 289 203
"ENSG00000260179" 0 0 0 1 0 0
"ENSG00000234396" 0 1 0 0 0 0
"ENSG00000225972" 0 0 0 0 0 0
"ENSG00000224315" 0 0 0 0 2 0
"ENSG00000198744" 0 0 0 0 0 0
"ENSG00000279928" 4 1 3 0 3 0
"ENSG00000228037" 0 0 2 0 0 1
"ENSG00000142611" 15 13 12 1 1 5
"ENSG00000225630" 75 21 47 20 13 41
"ENSG00000067606" 141 258 289 170 177 138
"ENSG00000131584" 295 392 495 218 210 196
"ENSG00000227589" 0 0 0 0 0 0
"ENSG00000237402" 0 0 0 0 0 0
"ENSG00000284616" 0 0 0 0 0 0
"ENSG00000169972" 182 241 284 81 106 78
"ENSG00000157911" 403 627 605 312 374 328
"ENSG00000269896" 5 6 10 5 7 5
"ENSG00000237973" 90 34 41 27 38 58
"ENSG00000224051" 366 671 674 321 291 275
"ENSG00000228750" 0 0 0 0 0 0
"ENSG00000228463" 8 11 2 6 3 2
"ENSG00000238260" 0 3 0 0 0 1
"ENSG00000260972" 0 0 0 0 0 0
"ENSG00000157933" 761 403 583 238 247 331
"ENSG00000162591" 389 643 700 238 310 208
"ENSG00000224340" 1 0 0 0 0 0
"ENSG00000270035" 0 0 0 0 0 2
"ENSG00000169962" 21 36 32 33 26 41
"ENSG00000226545" 2 0 1 0 0 0
"ENSG00000233653" 0 0 0 0 0 0
"ENSG00000268663" 0 0 0 0 0 0
"ENSG00000226374" 0 0 0 0 0 0
"ENSG00000116285" 2504 2717 3118 1849 2117 2205
"ENSG00000229280" 0 0 0 0 0 0
"ENSG00000142655" 149 166 174 67 85 80
"ENSG00000232596" 0 0 0 0 0 0
"ENSG00000235054" 0 0 0 0 0 0
"ENSG00000232663" 0 0 0 0 0 0
"ENSG00000284646" 2 0 0 0 0 0
"ENSG00000240409" 0 0 0 0 0 0
"ENSG00000229344" 0 0 0 0 0 0
"ENSG00000231510" 0 0 0 0 0 0
"ENSG00000149527" 4 10 7 1 10 2
"ENSG00000284739" 0 0 0 0 0 0
"ENSG00000007923" 361 563 652 224 226 243
"ENSG00000171621" 459 915 1022 581 592 479
"ENSG00000272235" 0 0 0 0 0 1
"ENSG00000236679" 0 0 1 1 0 0
"ENSG00000284694" 0 0 0 0 0 0
"ENSG00000162441" 870 994 1138 580 690 680
"ENSG00000230021" 2 1 0 1 1 1
"ENSG00000271264" 0 1 0 0 0 0
"ENSG00000287356" 5 5 9 6 4 3
"ENSG00000224387" 0 0 0 0 0 0
"ENSG00000187017" 0 0 3 2 1 6
"ENSG00000285629" 0 0 0 0 0 0
"ENSG00000173673" 0 0 0 0 0 0
"ENSG00000227372" 233 236 266 142 165 132
"ENSG00000142583" 1 5 1 3 0 0
"ENSG00000223663" 0 1 1 0 0 0
"ENSG00000107404" 1300 2766 3128 1275 1401 926
"ENSG00000284674" 0 0 0 0 0 0
"ENSG00000177000" 241 255 256 156 202 196
"ENSG00000272161" 0 0 0 0 0 0
"ENSG00000237094" 6 2 1 1 3 1
"ENSG00000069424" 307 347 347 116 174 181
"ENSG00000224338" 0 0 0 2 0 0
"ENSG00000074800" 66919 113892 128420 58566 59571 50623
"ENSG00000234546" 7 23 10 10 11 14
"ENSG00000116786" 1073 1851 1952 896 1092 864
"ENSG00000287727" 4 1 4 3 1 0
"ENSG00000176022" 867 1527 1508 748 877 635
"ENSG00000223989" 0 0 0 0 0 0
"ENSG00000228423" 0 0 0 0 0 0
"ENSG00000286448" 0 0 0 0 0 0
"ENSG00000162496" 1687 3760 4103 3054 3613 2940
"ENSG00000237365" 0 0 0 0 0 0
"ENSG00000131686" 0 0 0 0 0 0
"ENSG00000229305" 0 0 1 0 1 0
"ENSG00000284703" 1 0 2 0 0 0
"ENSG00000226457" 3 2 4 3 4 1
"ENSG00000162494" 0 0 0 0 0 0
"ENSG00000173614" 118 264 231 149 186 143
"ENSG00000248527" 15 20 21 10 27 16
"ENSG00000237728" 0 0 0 0 0 0
"ENSG00000215720" 9 0 0 3 0 1
"ENSG00000279804" 0 0 0 0 0 0
"ENSG00000116273" 483 430 509 191 210 211
"ENSG00000241326" 0 0 0 0 0 0
"ENSG00000285701" 7 0 1 1 0 0
"ENSG00000233623" 1 0 0 0 0 0
"ENSG00000162592" 1 0 0 0 0 2
"ENSG00000116254" 14 12 13 3 4 5
"ENSG00000049245" 3020 3729 4093 2050 2343 2150
"ENSG00000179743" 36 77 66 34 27 35
"ENSG00000233645" 0 0 0 0 0 0
"ENSG00000234064" 0 0 0 0 0 0
"ENSG00000204624" 1 3 3 2 3 2
"ENSG00000284708" 0 0 0 0 0 0
"ENSG00000171603" 3729 2597 3309 1551 1666 2093
"ENSG00000280113" 3 0 4 1 0 2
"ENSG00000142606" 2 0 0 0 0 0
"ENSG00000235146" 0 0 0 0 0 0
"ENSG00000177674" 341 496 531 236 298 226
"ENSG00000162572" 15 12 14 9 13 4
"ENSG00000171608" 89 60 87 44 41 44
"ENSG00000225931" 0 0 0 0 0 0
"ENSG00000236601" 0 0 0 0 0 0
"ENSG00000171729" 728 1210 1334 671 690 673
"ENSG00000228150" 4 20 10 6 8 5
"ENSG00000175262" 0 0 0 0 0 0
"ENSG00000279457" 53 95 128 68 88 54
"ENSG00000162571" 0 0 0 0 0 0
"ENSG00000231181" 3 0 0 1 0 1
"ENSG00000238173" 1 8 13 0 11 1
"ENSG00000158109" 495 551 662 258 298 291
"ENSG00000229393" 0 0 1 0 2 0
"ENSG00000269978" 0 1 0 0 0 0
"ENSG00000037637" 473 554 547 269 302 286
"ENSG00000184163" 3 4 1 2 2 0
"ENSG00000287586" 0 2 0 0 0 0
"ENSG00000159423" 1026 1565 1733 896 960 922
"ENSG00000142599" 794 394 596 347 391 517
"ENSG00000227169" 0 0 0 0 0 0
"ENSG00000283356" 0 0 0 0 0 0
"ENSG00000011021" 148 79 100 87 94 135
"ENSG00000272482" 49 115 86 56 88 58
"ENSG00000284747" 10 16 12 17 12 8
"ENSG00000215912" 6 3 0 4 6 5
"ENSG00000120952" 0 0 0 0 0 0
