Hyb09cy3	Hyb09cy5
id1o10E5	4440.000000	3794.000000
id2o10A5	1211.000000	851.000000
id3o10A8	7133.000000	3199.000000
id4o10100lambda	15585.000000	14850.000000
id5o10200lambda	31202.000000	31380.000000
id6o1050lambda	3673.000000	3027.000000
id7o11B5	9541.000000	5000.000000
id8o11D1	3735.000000	2827.000000
id9o11D12	1224.000000	1102.000000
id10o11F8	1376.000000	2015.000000
id11o11H9	9018.000000	27499.000000
id12o11100lambda	19220.000000	20083.000000
id13o11200lambda	31582.000000	42683.000000
id14o1150lambda	7146.000000	6689.000000
id15o12E2	3846.000000	4319.000000
id16o12E7	53043.000000	29417.000000
id17o12A4	1235.000000	963.000000
id18o12D8	2826.000000	2179.000000
id19o12F1	1364.000000	1478.000000
id20o12F11	2252.000000	2437.000000
id21o12100lambda	15174.000000	14645.000000
id22o12200lambda	19444.000000	22362.000000
id23o1250lambda	5824.000000	4847.000000
id24o13E11	49.000000	0.000000
id25o13A3	4114.000000	16256.000000
id26o13A6	4536.000000	2532.000000
id27o13A9	29968.000000	28623.000000
id28o13B11	4292.000000	2712.000000
id29o13D4	9541.000000	7225.000000
id30o13D5	2316.000000	1947.000000
id31o13F10	1279.000000	1608.000000
id32o13F6	1580.000000	1642.000000
id33o13F8	2220.000000	1633.000000
id34o13G1	2356.000000	6377.000000
id35o13G3	2694.000000	2072.000000
id36o13G4	2933.000000	3188.000000
id37o13H4	3176.000000	2929.000000
id38o13H6	2132.000000	3225.000000
id39o13100lambda	4237.000000	2856.000000
id40o13200lambda	23884.000000	19134.000000
id41o1350lambda	2399.000000	2048.000000
id42o14E10	16795.000000	7926.000000
id43o14E5	2158.000000	1844.000000
id44o14E6	3506.000000	3310.000000
id45o16E2	6.000000	58.000000
id46o16D4	927.000000	699.000000
id47o16F5	5025.000000	5832.000000
id48o16F8	2555.000000	2724.000000
id49o16G5	1435.000000	1395.000000
id50o17A1	1625.000000	1386.000000
id51o17B10	2383.000000	2067.000000
id52o17C3	3342.000000	3126.000000
id53o17D4	2580.000000	1716.000000
id54o17G12	10258.000000	4002.000000
id55o17H5	3816.000000	2552.000000
id56o18E11	14.000000	0.000000
id57o18E6	41.000000	3.000000
id58o18A9	2258.000000	1458.000000
id59o18B2	3110.000000	3063.000000
id60o18B9	1518.000000	598.000000
id61o18D4	1848.000000	828.000000
id62o18D7	1240.000000	578.000000
id63o18D8	565.000000	408.000000
id64o18F9	365.000000	327.000000
id65o18G7	1865.000000	755.000000
id66o19A1.1	2467.000000	2690.000000
id67o19A1.2	979.000000	700.000000
id68o19A7.2	593.000000	460.000000
id69o19B1.1	974.000000	684.000000
id70o19B12.1	1852.000000	1397.000000
id71o19B12.2	1614.000000	1638.000000
id72o19B4.2	2516.000000	2334.000000
id73o19E1.1	15766.000000	7599.000000
id74o19E1.2	3757.000000	11130.000000
id75o19F1.1	1481.000000	472.000000
id76o19G2.1	802.000000	653.000000
id77o1100lambda	6881.000000	4247.000000
id78o1200lambda	121.000000	0.000000
id79o150lambda	4488.000000	3341.000000
id80o2.15	1735.000000	633.000000
id81o2.22	354.000000	49.000000
id82o20C3.2	4898.000000	1683.000000
id83o21C3.2	3039.000000	4960.000000
id84o21C8.2	3918.000000	5926.000000
id85o21E1.1	6251.000000	2180.000000
id86o21G4.1	1515.000000	1116.000000
id87o21G6.1	1764.000000	1453.000000
id88o22C2.2	13586.000000	12196.000000
id89o22C5.1	32.000000	7.000000
id90o22F1.1	1557.000000	1105.000000
id91o22F10.1	4830.000000	3734.000000
id92o22G10.2	1518.000000	685.000000
id93o22G11.1	5339.000000	6055.000000
id94o23A2.2	4403.000000	15615.000000
id95o23C11.2	491.000000	198.000000
id96o23D9.2	548.000000	362.000000
id97o23E12.1	3053.000000	2447.000000
id98o23E8.1	1548.000000	2058.000000
id99o23E9.1	729.000000	400.000000
id100o23F2.1	3877.000000	3001.000000
id101o23H6.1	205.000000	7.000000
id102o24B12.2	935.000000	1552.000000
id103o24B6.2	764.000000	280.000000
id104o24D10.1	5126.000000	4196.000000
id105o24D12.1	201.000000	0.000000
id106o24G2.1	4602.000000	22767.000000
id107o25A6.1	811.000000	348.000000
id108o25D3.1	131.000000	9.000000
