	Hyb01cy3	Hyb01cy5	Hyb02cy3	Hyb02cy5	Hyb03cy3	Hyb03cy5	Hyb04cy3	Hyb04cy5	Hyb05cy3	Hyb05cy5	Hyb06cy3	Hyb06cy5	Hyb08cy3	Hyb08cy5	Hyb09cy3	Hyb09cy5	Hyb10cy3	Hyb10cy5	Hyb11cy3	Hyb11cy5	Hyb12cy3	Hyb12cy5	Hyb13cy3	Hyb13cy5	Hyb14cy3	Hyb14cy5	Hyb15cy3	Hyb15cy5	Hyb16cy3	Hyb16cy5	Hyb17cy3	Hyb17cy5	Hyb18cy3	Hyb18cy5	Hyb19cy3	Hyb19cy5	Hyb20cy3	Hyb20cy5	Hyb21cy3	Hyb21cy5	Hyb22cy3	Hyb22cy5	Hyb23cy3	Hyb23cy5	Hyb24cy3	Hyb24cy5	Hyb25cy3	Hyb25cy5
id1o10E5	1716	3983	3562	2030	2154	4288	4355	2248	6659	6964	8868	4378	8450	7812	4440	3794	2885	3422	2517	2364	3407	5003	3132	2875	1526	2238	2753	3282	2436	2520	2477	2170	997	1794	2769	1211	1476	2231	881	2526	2104	1984	3051	2856	2096	1954	3126	2851
id2o10A5	338	1091	858	461	675	1527	1248	491	1497	1305	2635	1466	1714	2171	1211	851	587	702	380	526	953	1581	1044	1086	578	975	602	623	783	764	556	625	381	610	661	357	438	657	309	694	701	567	933	835	1173	961	820	961
id3o10A8	1257	3119	4062	2262	2418	7637	8282	3595	6391	5956	6178	7097	5727	12899	7133	3199	6044	7508	3917	4197	4862	5338	1293	2353	1450	3138	3324	2275	4201	2132	1622	3196	1699	1305	1827	1895	2251	4085	1760	4197	2424	4009	2764	2205	5087	1752	2138	5548
id4o10100lambda	23117	12881	15802	4013	9990	10505	6163	7584	13840	12289	8208	11332	6392	7278	15585	14850	5424	6949	3645	6252	11379	36663	7775	2818	6942	5704	3662	5530	4340	4648	4754	2166	1636	1229	7844	5975	2363	5126	4467	6155	8114	7419	9564	6559	6458	5079	6696	8340
id5o10200lambda	49638	32419	53446	12054	19220	21973	14679	22267	29240	27202	14252	21695	21759	22092	31202	31380	12490	19275	8646	22865	14012	65535	37773	13100	33570	19433	8622	14879	9755	11023	22806	6341	6046	3135	16266	11367	5664	12246	8729	10768	27270	26244	31018	25533	26372	54363	19056	19734
id6o1050lambda	6800	3483	9263	2112	3064	3561	2869	3056	6272	5327	3302	3838	4270	3537	3673	3027	2725	2710	1250	2405	2034	4800	3360	1265	1924	2042	1426	1805	2329	2063	1592	1473	965	1047	2368	1932	1122	2359	1009	1698	1876	1872	2537	1967	2911	2504	2140	2960
id7o11B5	1085	3372	5250	3638	5603	14624	13394	6426	11433	10801	9646	11061	7967	16881	9541	5000	7999	9538	6526	8056	6409	9033	1573	2710	3295	5909	5502	5374	6133	5837	4086	4789	3430	4809	4650	2760	3621	5480	2611	5928	3453	4672	4988	4768	7066	4680	5594	8776
id8o11D1	660	3256	3430	1165	992	4029	2982	990	2512	3982	7145	3184	4735	6214	3735	2827	2238	3696	2149	1765	3181	3905	2295	3927	979	2139	1713	1580	2704	1608	1427	2837	786	1073	1121	684	647	1891	682	3177	1388	2295	2035	1987	1948	1310	1504	2340
id9o11D12	455	860	945	485	805	1525	1841	819	2058	1971	3784	1502	2443	3086	1224	1102	845	1093	791	1145	886	1547	615	568	613	795	1021	1127	944	974	783	836	498	951	821	493	789	1049	494	1054	1007	891	1306	1212	1062	885	1301	1481
id10o11F8	550	2696	2935	1103	566	1626	1770	542	1533	2533	5973	2470	3654	3151	1376	2015	988	3078	1430	864	2860	3427	2291	3636	553	1517	1293	797	2043	885	670	2300	749	744	599	554	551	1138	567	2496	1122	1636	1925	1899	1359	963	1034	1440
